review_text,sentiment
รอนานเกินไป ไม่คุ้มค่า,negative
ประสบการณ์ดี ไม่มีปัญหา,positive
ส่งผิดสี ติดต่อยาก,negative
ขอคืนเงินเพราะใช้งานไม่ได้จริง ๆ,negative
ราคาคุ้มค่า การจัดส่งดี,positive
ใช้แล้วดี แนะนำเลยครับ,positive
ของไม่ตรงปก ผิดหวังสุด ๆ,negative
บริการลูกค้าดี ใส่ใจ,positive
แพ็คของแย่ ทำให้สินค้าเสียหาย,negative
ประทับใจ จะสั่งอีกแน่นอน,positive
เจอของปลอม ไม่แนะนำ,negative
ผิดหวังกับบริการครั้งนี้,negative
ส่งไว แพ็คของดี ของสวย,positive
รองเท้าใส่สบาย สีตรงตามรูป,positive
สินค้าคุณภาพเยี่ยม ประทับใจจริง ๆ,positive
ของตรงปก คุณภาพดี,positive
สินค้าดี ส่งเร็ว บริการเยี่ยม,positive
สินค้าไม่ได้คุณภาพ ใช้งานไม่ได้,negative
บริการแย่ ตอบแชทช้า,negative
ของเสียหาย เปิดกล่องก็พัง,negative
บริการดีมาก ส่งของไว ประทับใจสุด ๆ,positive
สินค้าตรงปก คุณภาพเกินราคาจริง ๆ,positive
แพ็กของแน่นหนา ไม่มีตำหนิเลยค่ะ,positive
พนักงานพูดจาดี ตอบแชทไวมาก,positive
ระบบใช้งานง่าย ไม่ซับซ้อน เหมาะกับมือใหม่,positive
เคยสั่งหลายครั้งแล้ว ไม่เคยผิดหวัง,positive
ประสบการณ์ดีมาก ตั้งแต่สั่งซื้อจนได้รับของ,positive
ได้รับของเร็ว แถมมีของแถมให้อีกด้วย,positive
ชอบมาก ใช้ดีจนต้องบอกต่อ,positive
ประทับใจในบริการหลังการขาย ดูแลดีมาก,positive
สินค้าดี ใช้งานได้ตรงตามที่โฆษณาไว้,positive
จัดส่งรวดเร็ว บรรจุภัณฑ์ดีเยี่ยม,positive
พอใจมาก จะกลับมาซื้ออีกแน่นอน,positive
คุ้มค่าคุ้มราคาเกินคาด,positive
ดีเกินคาด รู้สึกว่าตัดสินใจไม่ผิด,positive
ทีมงานให้คำปรึกษาดีมาก,positive
ทุกอย่างราบรื่น ไม่มีปัญหา,positive
ใช้งานได้ดี ไม่มีสะดุด,positive
ของครบตามที่สั่ง ไม่มีตกหล่น,positive
สั่งตอนเช้า ได้ของตอนเย็น ประทับใจ,positive
รอนานมาก เกินเวลาที่แจ้งไว้,negative
สินค้าไม่ตรงปก สีเพี้ยนไปเยอะ,negative
แพ็กของมาไม่ดี ทำให้สินค้าเสียหาย,negative
ติดต่อยาก พนักงานตอบช้า,negative
ระบบมีปัญหา หลุดบ่อย ใช้งานไม่ได้,negative
รู้สึกผิดหวัง คุณภาพไม่เหมือนที่รีวิวไว้,negative
กล่องบุบ ของขาด ไม่ตรวจสอบก่อนส่ง,negative
ไม่คุ้มกับราคาที่จ่ายไปเลย,negative
ส่งผิดสินค้า แลกคืนก็ยุ่งยาก,negative
สั่งไปแล้วโดนยกเลิกโดยไม่แจ้งล่วงหน้า,negative
ของใช้ไม่ได้เลย เสียเงินเปล่า,negative
ต้องรอหลายวันกว่าจะตอบกลับ,negative
การติดตั้งยาก ไม่เป็นไปตามคู่มือ,negative
บริการหลังการขายแย่มาก,negative
ส่งของช้า ไม่มีการติดตาม,negative
สินค้าเสียหายตั้งแต่แกะกล่อง,negative
ความคาดหวังกับความจริงต่างกันมาก,negative
ของหมดแต่ไม่แจ้งให้ทราบก่อน,negative
สีซีด ไม่เหมือนในรูป,negative
รู้สึกแย่กับประสบการณ์ครั้งนี้,negative
ของโอเคตามราคา ไม่ได้ว้าวแต่ก็ไม่ได้แย่,neutral
ใช้ได้ดีในระดับหนึ่ง ยังต้องลองใช้นาน ๆ,neutral
พอใช้ได้ แต่มีจุดที่ควรปรับปรุง,neutral
แพ็กของธรรมดา ไม่มีปัญหาอะไร,neutral
การจัดส่งช้าไปนิด แต่โดยรวมก็โอเค,neutral
ยังไม่แน่ใจ ต้องใช้อีกสักพัก,neutral
คิดว่าเฉย ๆ ไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
คุณภาพเหมือนทั่วไป ไม่ได้ต่างจากเจ้าอื่น,neutral
บริการใช้ได้ แต่ยังไม่ถึงกับประทับใจ,neutral
ลองครั้งแรก ยังไม่รู้ผล ต้องรอดูต่อไป,neutral
สินค้าไม่ได้แย่ แต่ก็ไม่ได้ดีมาก,neutral
อาจจะซื้ออีกครั้ง ถ้าไม่มีทางเลือกอื่น,neutral
ฟีเจอร์บางอย่างยังใช้ไม่เป็น,neutral
ของมาครบ แต่ไม่ค่อยตื่นเต้น,neutral
รอบนี้บริการเฉย ๆ ไม่เหมือนรอบก่อน,neutral
เป็นไปตามที่คาดไว้ ไม่ได้เกินคาด,neutral
ต้องลองใช้อีกสักพักถึงจะรู้ผล,neutral
ราคาไม่ถูกไม่แพง กลาง ๆ,neutral
การใช้งานพื้นฐานโอเค แต่ยังไม่ครบถ้วน,neutral
ปานกลาง เหมาะกับคนไม่ค่อยมีทางเลือก,neutral
